event,timestamp,button,finger,word
'WORD_NEXT,1675349041899,None,None,53119 Bonn'
'CHAR_SELECTED,1675349041946,9,2,None'
'CHAR_SELECTED,1675349042024,8,2,None'
'CHAR_SELECTED,1675349042878,7,2,None'
'CHAR_SELECTED,1675349043121,6,2,None'
'CHAR_SELECTED,1675349043287,5,2,None'
'CHAR_SELECTED,1675349044050,4,2,None'
'CHAR_SELECTED,1675349044160,5,2,None'
'CHAR_SELECTED,1675349045015,6,2,None'
'CHAR_SELECTED,1675349046755,5,2,None'
'CHAR_CLICKED,1675349048309,5,None,None'
'CHAR_SELECTED,1675349049416,4,2,None'
'CHAR_SELECTED,1675349051511,3,2,None'
'CHAR_CLICKED,1675349052999,3,None,None'
'CHAR_SELECTED,1675349053203,2,2,None'
'CHAR_SELECTED,1675349054579,1,2,None'
'CHAR_CLICKED,1675349054981,1,None,None'
'CHAR_CLICKED,1675349055970,1,None,None'
'CHAR_SELECTED,1675349056042,2,2,None'
'CHAR_SELECTED,1675349056144,3,2,None'
'CHAR_SELECTED,1675349056191,4,2,None'
'CHAR_SELECTED,1675349056263,5,2,None'
'CHAR_SELECTED,1675349056336,6,2,None'
'CHAR_SELECTED,1675349056502,7,2,None'
'CHAR_SELECTED,1675349056593,8,2,None'
'CHAR_SELECTED,1675349057836,9,2,None'
'CHAR_CLICKED,1675349059269,9,None,None'
'CHAR_SELECTED,1675349059502,0,2,None'
'CHAR_SELECTED,1675349059754,J,3,None'
'CHAR_SELECTED,1675349060110,ENTER,5,None'
'CHAR_SELECTED,1675349060764,U,5,None'
'CHAR_SELECTED,1675349064644,ENTER,5,None'
'CHAR_SELECTED,1675349065511,S,4,None'
'CHAR_SELECTED,1675349065775,R,4,None'
'CHAR_SELECTED,1675349067565,SPACE,5,None'
'CHAR_CLICKED,1675349070055,SPACE,None,None'
'CHAR_SELECTED,1675349070134,Q,4,None'
'CHAR_SELECTED,1675349070276,P,4,None'
'CHAR_SELECTED,1675349070474,O,4,None'
'CHAR_SELECTED,1675349070746,N,4,None'
'CHAR_SELECTED,1675349071640,X,5,None'
'CHAR_SELECTED,1675349071701,D,3,None'
'CHAR_SELECTED,1675349071832,N,4,None'
'CHAR_SELECTED,1675349072000,M,4,None'
'CHAR_SELECTED,1675349072863,L,4,None'
'CHAR_SELECTED,1675349073733,K,4,None'
'CHAR_SELECTED,1675349074181,U,5,None'
'CHAR_SELECTED,1675349074363,V,5,None'
'CHAR_SELECTED,1675349074530,W,5,None'
'CHAR_SELECTED,1675349075328,M,4,None'
'CHAR_SELECTED,1675349076065,N,4,None'
'CHAR_SELECTED,1675349076125,M,4,None'
'CHAR_SELECTED,1675349076328,L,4,None'
'CHAR_SELECTED,1675349076658,K,4,None'
'CHAR_SELECTED,1675349077234,T,4,None'
'CHAR_SELECTED,1675349077414,S,4,None'
'CHAR_SELECTED,1675349078198,R,4,None'
'CHAR_SELECTED,1675349078268,H,3,None'
'CHAR_SELECTED,1675349078361,G,3,None'
'CHAR_SELECTED,1675349078426,F,3,None'
'CHAR_SELECTED,1675349078566,E,3,None'
'CHAR_SELECTED,1675349078873,D,3,None'
'CHAR_SELECTED,1675349079101,C,3,None'
'CHAR_SELECTED,1675349081115,B,3,None'
'CHAR_CLICKED,1675349082361,B,None,None'
'CHAR_SELECTED,1675349082447,2,2,None'
'CHAR_SELECTED,1675349082757,B,3,None'
'CHAR_SELECTED,1675349082927,C,3,None'
'CHAR_SELECTED,1675349083180,M,4,None'
'CHAR_SELECTED,1675349083610,N,4,None'
'CHAR_SELECTED,1675349085096,O,4,None'
'CHAR_CLICKED,1675349086316,O,None,None'
'CHAR_SELECTED,1675349086451,E,3,None'
'CHAR_SELECTED,1675349087046,D,3,None'
'CHAR_SELECTED,1675349087442,N,4,None'
'CHAR_SELECTED,1675349088121,M,4,None'
'CHAR_SELECTED,1675349089433,N,4,None'
'CHAR_CLICKED,1675349089755,N,None,None'
'CHAR_CLICKED,1675349090870,N,None,None'
'CHAR_SELECTED,1675349092406,4,2,None'
'CHAR_SELECTED,1675349093079,D,3,None'
'CHAR_SELECTED,1675349093166,N,4,None'
'CHAR_SELECTED,1675349093267,X,5,None'
'CHAR_SELECTED,1675349093540,Y,5,None'
'CHAR_SELECTED,1675349093794,O,4,None'
'CHAR_SELECTED,1675349093998,E,3,None'
'CHAR_SELECTED,1675349094236,O,4,None'
'CHAR_SELECTED,1675349094928,E,3,None'
'CHAR_SELECTED,1675349095035,5,2,None'
'CHAR_SELECTED,1675349095247,E,3,None'
'CHAR_SELECTED,1675349095473,5,2,None'
'CHAR_SELECTED,1675349095544,E,3,None'
'CHAR_SELECTED,1675349095595,O,4,None'
'CHAR_SELECTED,1675349095660,Y,5,None'
'CHAR_SELECTED,1675349095758,X,5,None'
'CHAR_SELECTED,1675349095899,W,5,None'
'CHAR_SELECTED,1675349096097,V,5,None'
'CHAR_SELECTED,1675349096259,U,5,None'
'CHAR_SELECTED,1675349096461,ENTER,5,None'
'CHAR_SELECTED,1675349097058,SPACE,5,None'
'CHAR_SELECTED,1675349099317,ENTER,5,None'
