event,timestamp,button,finger,word
WORD_NEXT,1675396843183,None,None,Navi
TRIAL_START,1675396843183,None,None,None
CHAR_SELECTED,1675396861619,K,4,None
CHAR_SELECTED,1675396861922,L,4,None
CHAR_SELECTED,1675396863562,M,4,None
CHAR_SELECTED,1675396867212,N,4,None
CHAR_CLICKED,1675396870320,N,None,None
CHAR_SELECTED,1675396878263,D,3,None
CHAR_SELECTED,1675396878457,C,3,None
CHAR_SELECTED,1675396879531,B,3,None
CHAR_SELECTED,1675396880956,2,2,None
CHAR_SELECTED,1675396882120,B,3,None
CHAR_SELECTED,1675396884492,A,3,None
CHAR_CLICKED,1675396887398,A,None,None
CHAR_SELECTED,1675396893116,K,4,None
CHAR_SELECTED,1675396893437,L,4,None
CHAR_SELECTED,1675396895340,V,5,None
CHAR_CLICKED,1675396897934,V,None,None
CHAR_SELECTED,1675396901991,B,3,None
CHAR_SELECTED,1675396902164,A,3,None
CHAR_SELECTED,1675396902356,J,3,None
CHAR_SELECTED,1675396902619,I,3,None
CHAR_CLICKED,1675396904621,I,None,None
CHAR_SELECTED,1675396909005,ENTER,5,None
CHAR_SELECTED,1675396909278,S,4,None
CHAR_SELECTED,1675396913571,ENTER,5,None
WORD_DONE,1675396915799,None,None,Navi
WORD_NEXT,1675396915802,None,None,WDR 4
CHAR_SELECTED,1675396919227,I,3,None
CHAR_SELECTED,1675396919524,ENTER,5,None
CHAR_SELECTED,1675396920927,SPACE,5,None
CHAR_SELECTED,1675396922420,Z,5,None
CHAR_SELECTED,1675396923293,Y,5,None
CHAR_SELECTED,1675396923764,X,5,None
CHAR_SELECTED,1675396924216,W,5,None
CHAR_CLICKED,1675396926168,W,None,None
CHAR_SELECTED,1675396931007,C,3,None
CHAR_SELECTED,1675396931438,B,3,None
CHAR_SELECTED,1675396932466,C,3,None
CHAR_SELECTED,1675396935630,D,3,None
CHAR_CLICKED,1675396937632,D,None,None
CHAR_SELECTED,1675396941286,E,3,None
CHAR_SELECTED,1675396941558,O,4,None
CHAR_SELECTED,1675396942895,P,4,None
CHAR_SELECTED,1675396943247,Q,4,None
CHAR_SELECTED,1675396945754,R,4,None
CHAR_CLICKED,1675396947298,R,None,None
CHAR_SELECTED,1675396951439,8,2,None
CHAR_SELECTED,1675396951673,7,2,None
CHAR_SELECTED,1675396952412,6,2,None
CHAR_SELECTED,1675396952639,5,2,None
CHAR_SELECTED,1675396952943,4,2,None
CHAR_SELECTED,1675396959227,X,5,None
CHAR_SELECTED,1675396959729,Y,5,None
CHAR_SELECTED,1675396961022,Z,5,None
CHAR_SELECTED,1675396963624,SPACE,5,None
CHAR_SELECTED,1675396964194,ENTER,5,None
CHAR_SELECTED,1675396965085,SPACE,5,None
CHAR_CLICKED,1675396967013,SPACE,None,None
CHAR_SELECTED,1675396970768,7,2,None
CHAR_SELECTED,1675396971008,6,2,None
CHAR_SELECTED,1675396971534,5,2,None
CHAR_SELECTED,1675396971910,4,2,None
CHAR_CLICKED,1675396973492,4,None,None
CHAR_SELECTED,1675396976032,N,4,None
CHAR_SELECTED,1675396976336,O,4,None
CHAR_SELECTED,1675396977966,P,4,None
CHAR_SELECTED,1675396979124,Q,4,None
CHAR_SELECTED,1675396979356,R,4,None
CHAR_SELECTED,1675396980853,SPACE,5,None
CHAR_SELECTED,1675396981256,ENTER,5,None
WORD_DONE,1675396983084,None,None,WDR 4
WORD_NEXT,1675396983087,None,None,51063 Koeln
CHAR_SELECTED,1675396987011,9,2,None
CHAR_SELECTED,1675396987342,8,2,None
CHAR_SELECTED,1675396987551,7,2,None
CHAR_SELECTED,1675396988257,6,2,None
CHAR_SELECTED,1675396988641,5,2,None
CHAR_CLICKED,1675396990286,5,None,None
CHAR_SELECTED,1675396992113,4,2,None
CHAR_SELECTED,1675396992204,3,2,None
CHAR_SELECTED,1675396992434,2,2,None
CHAR_SELECTED,1675396992940,1,2,None
CHAR_CLICKED,1675396995045,1,None,None
CHAR_SELECTED,1675396996670,2,2,None
CHAR_SELECTED,1675396996762,3,2,None
CHAR_SELECTED,1675396996866,4,2,None
CHAR_SELECTED,1675396997003,5,2,None
CHAR_SELECTED,1675396997206,6,2,None
CHAR_SELECTED,1675396997328,7,2,None
CHAR_SELECTED,1675396998902,8,2,None
CHAR_SELECTED,1675396999097,9,2,None
CHAR_SELECTED,1675396999293,0,2,None
CHAR_CLICKED,1675397001205,0,None,None
CHAR_SELECTED,1675397002454,9,2,None
CHAR_SELECTED,1675397002553,8,2,None
CHAR_SELECTED,1675397002716,7,2,None
CHAR_SELECTED,1675397004954,6,2,None
CHAR_CLICKED,1675397006585,6,None,None
CHAR_SELECTED,1675397007975,5,2,None
CHAR_SELECTED,1675397008086,4,2,None
CHAR_SELECTED,1675397008252,3,2,None
CHAR_CLICKED,1675397010845,3,None,None
CHAR_SELECTED,1675397013568,M,4,None
CHAR_SELECTED,1675397013802,N,4,None
CHAR_SELECTED,1675397016003,X,5,None
CHAR_SELECTED,1675397017668,N,4,None
CHAR_SELECTED,1675397018001,O,4,None
CHAR_SELECTED,1675397019986,Y,5,None
CHAR_SELECTED,1675397020227,Z,5,None
CHAR_SELECTED,1675397021189,SPACE,5,None
CHAR_CLICKED,1675397023103,SPACE,None,None
CHAR_SELECTED,1675397028651,Q,4,None
CHAR_SELECTED,1675397029778,P,4,None
CHAR_SELECTED,1675397029910,O,4,None
CHAR_SELECTED,1675397030047,N,4,None
CHAR_SELECTED,1675397030146,M,4,None
CHAR_SELECTED,1675397030476,L,4,None
CHAR_SELECTED,1675397033309,B,3,None
CHAR_SELECTED,1675397033832,2,2,None
CHAR_SELECTED,1675397036403,L,4,None
CHAR_SELECTED,1675397036696,K,4,None
CHAR_CLICKED,1675397038494,K,None,None
CHAR_SELECTED,1675397040690,U,5,None
CHAR_SELECTED,1675397040959,K,4,None
CHAR_SELECTED,1675397041189,L,4,None
CHAR_SELECTED,1675397042117,M,4,None
CHAR_SELECTED,1675397042457,N,4,None
CHAR_SELECTED,1675397047243,O,4,None
CHAR_CLICKED,1675397049863,O,None,None
CHAR_SELECTED,1675397062189,E,3,None
CHAR_SELECTED,1675397062552,D,3,None
CHAR_SELECTED,1675397064191,E,3,None
CHAR_CLICKED,1675397066104,E,None,None
CHAR_SELECTED,1675397069343,O,4,None
CHAR_SELECTED,1675397070378,N,4,None
CHAR_SELECTED,1675397070512,M,4,None
CHAR_SELECTED,1675397070753,L,4,None
CHAR_CLICKED,1675397072469,L,None,None
CHAR_SELECTED,1675397077172,M,4,None
CHAR_SELECTED,1675397077390,N,4,None
CHAR_CLICKED,1675397078892,N,None,None
CHAR_SELECTED,1675397081190,O,4,None
CHAR_SELECTED,1675397081393,P,4,None
CHAR_SELECTED,1675397081755,Q,4,None
CHAR_SELECTED,1675397083818,R,4,None
CHAR_SELECTED,1675397084626,S,4,None
CHAR_SELECTED,1675397084984,T,4,None
CHAR_SELECTED,1675397086386,ENTER,5,None
CHAR_SELECTED,1675397086680,U,5,None
CHAR_SELECTED,1675397088308,ENTER,5,None
CHAR_SELECTED,1675397088575,SPACE,5,None
CHAR_SELECTED,1675397089374,ENTER,5,None
WORD_DONE,1675397090689,None,None,51063 Koeln
WORD_NEXT,1675397090691,None,None,Italien
CHAR_SELECTED,1675397097460,I,3,None
CHAR_SELECTED,1675397097831,H,3,None
CHAR_SELECTED,1675397099122,I,3,None
CHAR_CLICKED,1675397100616,I,None,None
CHAR_SELECTED,1675397103460,J,3,None
CHAR_SELECTED,1675397106683,T,4,None
CHAR_CLICKED,1675397108703,T,None,None
CHAR_SELECTED,1675397114104,J,3,None
CHAR_SELECTED,1675397114237,T,4,None
CHAR_SELECTED,1675397115396,S,4,None
CHAR_SELECTED,1675397115533,R,4,None
CHAR_SELECTED,1675397115663,Q,4,None
CHAR_SELECTED,1675397115867,P,4,None
CHAR_SELECTED,1675397116030,O,4,None
CHAR_SELECTED,1675397116196,E,3,None
CHAR_SELECTED,1675397116365,D,3,None
CHAR_SELECTED,1675397119502,C,3,None
CHAR_SELECTED,1675397119759,B,3,None
CHAR_SELECTED,1675397119989,A,3,None
CHAR_CLICKED,1675397121531,A,None,None
CHAR_SELECTED,1675397128307,K,4,None
CHAR_SELECTED,1675397131674,L,4,None
CHAR_CLICKED,1675397134105,L,None,None
CHAR_SELECTED,1675397135663,2,2,None
CHAR_SELECTED,1675397135798,1,2,None
CHAR_SELECTED,1675397135927,A,3,None
CHAR_SELECTED,1675397136526,B,3,None
CHAR_SELECTED,1675397136804,2,2,None
CHAR_SELECTED,1675397137061,3,2,None
CHAR_SELECTED,1675397137459,4,2,None
CHAR_SELECTED,1675397138961,D,3,None
CHAR_SELECTED,1675397139325,E,3,None
CHAR_SELECTED,1675397145421,F,3,None
CHAR_SELECTED,1675397145579,G,3,None
CHAR_SELECTED,1675397145823,H,3,None
CHAR_SELECTED,1675397146110,I,3,None
CHAR_CLICKED,1675397147914,I,None,None
CHAR_SELECTED,1675397149312,9,2,None
CHAR_SELECTED,1675397149471,8,2,None
CHAR_SELECTED,1675397151288,H,3,None
CHAR_SELECTED,1675397151569,G,3,None
CHAR_SELECTED,1675397151821,F,3,None
CHAR_SELECTED,1675397153836,E,3,None
CHAR_CLICKED,1675397155403,E,None,None
CHAR_SELECTED,1675397157499,D,3,None
CHAR_SELECTED,1675397157725,C,3,None
CHAR_SELECTED,1675397158522,M,4,None
CHAR_SELECTED,1675397159691,N,4,None
CHAR_CLICKED,1675397161220,N,None,None
CHAR_SELECTED,1675397164527,O,4,None
CHAR_SELECTED,1675397166483,P,4,None
CHAR_SELECTED,1675397166646,Q,4,None
CHAR_SELECTED,1675397166879,R,4,None
CHAR_SELECTED,1675397168280,8,2,None
CHAR_SELECTED,1675397169606,7,2,None
CHAR_SELECTED,1675397173871,Q,4,None
CHAR_SELECTED,1675397173931,SPACE,5,None
CHAR_SELECTED,1675397175338,ENTER,5,None
WORD_DONE,1675397177307,None,None,Italien
WORD_NEXT,1675397177308,None,None,Eminem
CHAR_SELECTED,1675397183821,I,3,None
CHAR_SELECTED,1675397183954,H,3,None
CHAR_SELECTED,1675397184061,G,3,None
CHAR_SELECTED,1675397184284,F,3,None
CHAR_SELECTED,1675397184532,E,3,None
CHAR_CLICKED,1675397185841,E,None,None
CHAR_SELECTED,1675397188042,O,4,None
CHAR_SELECTED,1675397188177,N,4,None
CHAR_SELECTED,1675397191512,D,3,None
CHAR_SELECTED,1675397191734,E,3,None
CHAR_SELECTED,1675397191947,F,3,None
CHAR_SELECTED,1675397192370,G,3,None
CHAR_SELECTED,1675397192673,H,3,None
CHAR_SELECTED,1675397196499,I,3,None
CHAR_SELECTED,1675397197235,J,3,None
CHAR_SELECTED,1675397201491,T,4,None
CHAR_SELECTED,1675397202552,S,4,None
CHAR_SELECTED,1675397202687,R,4,None
CHAR_SELECTED,1675397203316,Q,4,None
CHAR_SELECTED,1675397203519,P,4,None
CHAR_SELECTED,1675397203717,O,4,None
CHAR_SELECTED,1675397205851,N,4,None
CHAR_SELECTED,1675397209171,4,2,None
CHAR_SELECTED,1675397210312,D,3,None
CHAR_SELECTED,1675397210407,E,3,None
CHAR_SELECTED,1675397210575,F,3,None
CHAR_SELECTED,1675397211735,E,3,None
CHAR_SELECTED,1675397213434,O,4,None
CHAR_SELECTED,1675397214664,N,4,None
CHAR_SELECTED,1675397214963,M,4,None
CHAR_CLICKED,1675397216470,M,None,None
CHAR_SELECTED,1675397222482,C,3,None
CHAR_SELECTED,1675397222600,D,3,None
CHAR_SELECTED,1675397222752,E,3,None
CHAR_SELECTED,1675397222891,F,3,None
