event,timestamp,button,finger,word
WORD_NEXT,1675790814518,None,None,57462 Olpe
TRIAL_START,1675790814518,None,None,None
CHAR_SELECTED,1675790817357,2,2,None
CHAR_SELECTED,1675790817623,3,2,None
CHAR_SELECTED,1675790818250,4,4,None
CHAR_SELECTED,1675790818484,5,3,None
CHAR_CLICKED,1675790825513,5,None,None
CHAR_SELECTED,1675790828107,6,3,None
CHAR_SELECTED,1675790828303,7,3,None
CHAR_SELECTED,1675790828669,8,2,None
CHAR_SELECTED,1675790833761,7,4,None
CHAR_CLICKED,1675790836521,7,None,None
CHAR_SELECTED,1675790840118,6,4,None
CHAR_SELECTED,1675790840249,5,4,None
CHAR_SELECTED,1675790840394,4,4,None
CHAR_CLICKED,1675790841798,4,None,None
CHAR_SELECTED,1675790843244,5,4,None
CHAR_SELECTED,1675790843309,6,4,None
CHAR_SELECTED,1675790843410,7,3,None
CHAR_SELECTED,1675790843518,8,3,None
CHAR_SELECTED,1675790843970,7,3,None
CHAR_SELECTED,1675790844408,6,4,None
CHAR_CLICKED,1675790846807,6,None,None
CHAR_SELECTED,1675790847970,5,2,None
CHAR_SELECTED,1675790848034,4,3,None
CHAR_SELECTED,1675790848138,3,3,None
CHAR_SELECTED,1675790848202,2,3,None
CHAR_CLICKED,1675790850091,2,None,None
CHAR_SELECTED,1675790851470,1,3,None
CHAR_SELECTED,1675790851529,ENTER,4,None
CHAR_SELECTED,1675790851597,SPACE,4,None
CHAR_SELECTED,1675790851636,Z,4,None
CHAR_SELECTED,1675790851750,Y,4,None
CHAR_SELECTED,1675790852664,Z,3,None
CHAR_SELECTED,1675790853200,SPACE,2,None
CHAR_CLICKED,1675790856364,SPACE,None,None
CHAR_SELECTED,1675790858357,Z,3,None
CHAR_SELECTED,1675790858550,Y,3,None
CHAR_SELECTED,1675790858787,X,3,None
CHAR_SELECTED,1675790859113,W,4,None
CHAR_SELECTED,1675790861014,V,4,None
CHAR_SELECTED,1675790861120,U,4,None
CHAR_SELECTED,1675790861248,T,5,None
CHAR_SELECTED,1675790862081,S,3,None
CHAR_SELECTED,1675790862147,R,3,None
CHAR_SELECTED,1675790862213,Q,3,None
